ID,Screen Name
22545491,KenCalvert
22527499,RepBillShuster
22523087,repjimcooper
22509548,DarrellIssa
22055226,replouiegohmert
22012091,WhipHoyer
20552026,RepPerlmutter
20545793,RepSchrader
20467163,VernBuchanan
20015903,PeterRoskam
19929362,RepJoeBarton
19926675,RepKevinBrady
19739126,GOPLeader
19658173,RepLynnJenkins
19407835,RepMikeCoffman
19318314,repbenraylujan
18967498,CongressmanGT
18916432,SpeakerRyan
18909919,JimLangevin
18805303,JeffFortenberry
18773159,RepScottPerry
18696134,RepSires
18566912,RepHensarling
18277655,RepPeteKing
18166778,Jim_Jordan
18030431,JudgeCarter
17976923,cathymcmorris
17896154,farenthold
17544524,ToddRokita
17513304,RepErikPaulsen
16256269,virginiafoxx
16102244,davereichert
15954997,repblumenauer
15874918,leezeldin
15856366,LamarSmithTX21
15764644,NancyPelosi
15751083,michaelcburgess
15600527,RepShimkus
15394954,boblatta
15361570,jaredpolis
15356407,RobWittman
14984637,chelliepingree
14275291,RosLehtinen
14135426,keithellison
13491312,RepTimRyan
12726012,PeteOlson
